accountName,weekEnding,organicVisits,paidSearchCost,displayCost,premiumDisplayCost,remarketingCost
elatedBaboon,04/26/15,503.924689,1054.53436,171.8240089,0,97.392686
elatedBaboon,05/03/15,508.0487613,1116.589487,150.802837,0,109.4332703
elatedBaboon,05/10/15,460.9922589,1051.716043,214.458278,0,104.0134142
elatedBaboon,05/17/15,429.9260335,1035.828363,175.9872592,0,82.83934284
livelyDuck,12/01/13,468.0284473,721.7336405,172.591327,298.6895945,121.3781487
livelyDuck,12/08/13,490.0978178,665.4110549,104.7312246,153.6806349,96.24900752
livelyDuck,12/15/13,542.9275026,572.6109446,121.1891595,93.59534664,71.34845422
livelyDuck,12/22/13,550.0897082,503.2827114,154.146985,85.01604959,44.66862233
livelyDuck,12/29/13,501.0696313,706.1245569,119.1292617,78.25258554,159.6815998
livelyDuck,01/05/14,544.9503068,707.268823,90.23585139,72.71372814,135.6474683
livelyDuck,01/12/14,589.9677447,607.5160229,103.5121047,71.81647665,131.8855629
livelyDuck,01/19/14,651.9723762,449.7894142,242.7440435,345.6780764,133.4028138
livelyDuck,01/26/14,628.914828,768.3569809,124.3551146,132.4225629,137.941927
livelyDuck,02/02/14,628.0940264,735.3200687,109.1042709,302.1280608,135.4963219
livelyDuck,02/09/14,645.0483905,668.5838405,91.16708238,249.378042,130.0936919
livelyDuck,02/16/14,664.9246391,535.7481044,102.1487401,1.054521679,111.2303632
livelyDuck,02/23/14,633.0627955,596.9190736,158.0645349,55.99379952,147.3363082
livelyDuck,03/02/14,630.9516024,693.0245619,130.3915116,75.35372783,134.767431
livelyDuck,03/09/14,666.0755765,676.6358488,130.6013299,73.2562203,132.5196484
livelyDuck,03/16/14,641.0860992,684.9361907,131.7979591,69.60374572,130.1794248
livelyDuck,03/23/14,703.0731751,343.7350907,129.0840106,72.03020729,135.0282464
livelyDuck,03/30/14,596.0170573,733.3276048,130.0140213,71.39042671,131.7615936
livelyDuck,04/06/14,572.9063226,678.2095594,131.4581073,65.18624074,137.0381029
livelyDuck,04/13/14,534.9792457,669.9797163,130.8865416,72.05962775,123.2111767
livelyDuck,04/20/14,567.9482408,488.7398982,129.3030522,72.0027178,124.2792085
livelyDuck,04/27/14,548.0354397,651.3633382,134.7292927,85.88386744,140.681076
livelyDuck,05/04/14,712.0746618,707.494663,134.0249388,72.44390847,137.624368
livelyDuck,05/11/14,748.0542862,639.4184135,132.2107635,71.0290982,123.7234994
livelyDuck,05/18/14,755.0851614,633.8641645,138.481882,76.98471705,140.6139524
livelyDuck,05/25/14,733.907378,527.4019504,121.8629069,80.67145693,118.2151713
livelyDuck,06/01/14,694.9492139,849.1937887,126.3368155,85.13208544,129.2749949
livelyDuck,06/08/14,712.9247966,937.5917695,130.5601695,62.85890521,126.3145891
livelyDuck,06/15/14,695.9817584,891.7004859,157.9835205,63.74536054,95.4016148
livelyDuck,06/22/14,635.0904631,798.0952128,141.1182407,61.81279204,83.64722156
livelyDuck,06/29/14,622.0968031,931.3117507,140.79449,92.59467309,124.9943782
livelyDuck,07/06/14,686.9873901,947.3353136,137.0651035,66.01136571,121.023152
livelyDuck,07/13/14,775.994944,876.5722134,163.0654869,116.2786553,112.4329082
livelyDuck,07/20/14,668.9160899,790.1522378,143.8029881,105.8267837,124.4020675
livelyDuck,07/27/14,708.9873662,885.1211532,141.0974168,31.64081136,124.7368722
livelyDuck,08/03/14,686.9656315,865.4964208,167.0534282,27.8143891,130.0940958
livelyDuck,08/10/14,675.0410573,842.6001148,136.7610311,29.14568538,127.9124281
livelyDuck,08/17/14,574.0290317,759.7803289,152.3779344,40.56021928,118.2724943
livelyDuck,08/24/14,850.0268264,807.0739228,196.4833445,210.1566797,68.68323466
livelyDuck,08/31/14,694.947382,920.9377876,170.7758159,42.07120223,94.9933444
livelyDuck,09/07/14,715.0368413,851.7219597,164.9396243,127.9582523,54.26775004
livelyDuck,09/14/14,723.0832791,796.8209244,237.6183048,74.37512835,84.605987
livelyDuck,09/21/14,667.9523567,807.640232,205.3758985,57.78086152,51.70351635
livelyDuck,09/28/14,686.9304327,561.3166303,213.1466018,144.5317417,80.49744858
livelyDuck,10/05/14,701.032878,996.6572335,212.1370508,189.4294769,80.50194784
livelyDuck,10/12/14,736.073008,999.5109573,221.681878,295.2770144,81.79330693
livelyDuck,10/19/14,741.0082017,1003.256944,147.2632251,0.404370431,67.36463225
livelyDuck,10/26/14,742.0670868,895.2225573,193.3748606,0,73.18238999
livelyDuck,11/02/14,819.9301638,850.5168702,193.7629664,0,73.3970544
livelyDuck,11/09/14,760.0181121,800.6234603,151.9095504,71.86110351,61.59321565
livelyDuck,11/16/14,769.9765885,768.7740514,141.5409074,167.9109946,69.41883049
livelyDuck,11/23/14,668.0822643,765.6461656,183.9640164,128.8479968,61.16047487
livelyDuck,11/30/14,696.0973061,838.1960032,174.9815595,135.8799453,75.51076301
livelyDuck,12/07/14,737.0670853,793.8936037,181.8630201,146.0934823,67.86447338
livelyDuck,12/14/14,749.0298527,1074.913994,128.0468696,71.94586614,113.4514497
livelyDuck,12/21/14,690.9388132,1250.466999,213.6826792,0.14696959,149.4823136
livelyDuck,12/28/14,782.9819233,1252.234825,187.1375161,0,127.7193456
livelyDuck,01/04/15,926.0239941,1011.663444,162.077294,0,112.1607491
livelyDuck,01/11/15,987.9197851,1073.039384,220.7248985,0,165.2048511
livelyDuck,01/18/15,1009.079996,1043.317144,186.6189713,0,136.0383748
livelyDuck,01/25/15,929.9455771,1115.437189,137.1206044,0,99.42674457
livelyDuck,02/01/15,971.0081675,1095.137618,177.2764874,0,160.3025267
livelyDuck,02/08/15,1059.038978,1096.028479,298.5230315,0,86.08278239
livelyDuck,02/15/15,1076.082823,1030.180889,239.979577,0,114.2001493
livelyDuck,02/22/15,1018.052674,969.045804,229.5874232,0,110.4510251
livelyDuck,03/01/15,997.9591056,1153.689875,210.8997542,0,104.0828404
livelyDuck,03/08/15,1021.000546,1085.047396,212.3775258,0,104.0030792
livelyDuck,03/15/15,1165.96936,1029.619229,212.0159423,0,102.9992282
livelyDuck,03/22/15,1142.92162,668.0477271,206.9280016,0,101.9508151
livelyDuck,03/29/15,1156.91515,1239.475068,213.3860671,0,103.7911528
livelyDuck,04/05/15,1271.028346,1175.161691,211.976503,0,101.623884
livelyDuck,04/12/15,1312.921016,1076.974659,212.4704516,0,104.0352093
livelyDuck,04/19/15,1183.98275,904.0276892,213.8129635,0,106.3899336
livelyDuck,04/26/15,1169.960124,940.21593,199.8319125,0,133.1165203
livelyDuck,05/03/15,976.0026074,1263.235747,178.9254066,0,119.3596561
livelyDuck,05/10/15,958.9243265,1199.355128,176.9781965,0,152.6485262
livelyDuck,05/17/15,1008.913495,1010.69895,212.0366632,0,136.8231711
livelyDuck,05/24/15,965.0546842,681.4086346,186.4994873,0,88.80856335
livelyDuck,05/31/15,917.9762629,1221.664051,156.3202863,0,40.2318221
livelyDuck,06/07/15,1062.91127,1140.324722,165.5254229,0,156.5322616
livelyDuck,06/14/15,1032.0654,1096.60953,205.8546904,0,229.7308997
livelyDuck,06/21/15,1087.072033,729.9679371,185.5021276,0,132.9677676
livelyDuck,06/28/15,1049.064842,1262.103607,194.7340879,0,138.8559584
livelyDuck,07/05/15,938.9864327,1184.595163,185.3818069,0,139.0320718
livelyDuck,07/12/15,943.9661107,1110.232745,192.6169482,0,140.2024356
livelyDuck,07/19/15,912.0726545,929.7339511,184.4358564,0,137.1783992
livelyDuck,07/26/15,855.9996652,900.6851367,184.2284346,0,132.695128
livelyDuck,08/02/15,844.00816,1121.799914,180.9656812,0,132.4790432
livelyDuck,08/09/15,760.0046107,1086.914559,182.9704458,0,136.0534461
livelyDuck,08/16/15,659.9533796,939.2426744,182.7613592,0,106.3004881
happyAlpaca,03/23/14,66.07743668,291.006262,0,0,13.10596321
happyAlpaca,03/30/14,66.92630549,316.972387,0,0,17.1846889
happyAlpaca,04/06/14,92.09238743,279.6608102,0,0,10.27229596
happyAlpaca,04/13/14,74.91219353,222.6905679,0,0,6.235327453
happyAlpaca,04/20/14,70.07834001,299.8321305,48.67716881,0,36.30502005
happyAlpaca,04/27/14,67.02129281,252.0913716,35.37635264,0,44.55466087
happyAlpaca,05/04/14,70.92792162,279.7112132,31.49357398,0,32.72684055
happyAlpaca,05/11/14,72.0238799,219.6180995,35.02681912,0,32.55039033
happyAlpaca,05/18/14,82.0237701,279.9738604,35.32372426,0,34.82988331
happyAlpaca,05/25/14,74.91920214,286.4830833,35.32258383,0,32.14950096
happyAlpaca,06/01/14,66.00220193,267.2032945,34.67650171,0,37.33032742
happyAlpaca,06/08/14,79.92329557,283.1770432,34.39036015,0,34.32335971
happyAlpaca,06/15/14,45.90718352,273.4528707,33.80307965,0,32.13018581
happyAlpaca,06/22/14,73.04697521,280.8666167,33.81780304,0,34.56621741
happyAlpaca,06/29/14,100.0604504,285.6968812,33.84792201,0,34.17980275
happyAlpaca,07/06/14,86.09562832,304.8463748,33.63714528,0,32.74527895
happyAlpaca,07/13/14,101.052711,228.2938057,35.16802456,0,34.02567809
happyAlpaca,07/20/14,77.03773665,263.7373999,32.91610827,0,33.71908387
happyAlpaca,07/27/14,100.0053316,281.6566161,33.57360093,0,33.4969851
happyAlpaca,08/03/14,88.00856083,270.0200036,33.62170352,0,33.97616305
happyAlpaca,08/10/14,76.00368096,255.3478342,34.36652767,0,33.5137289
happyAlpaca,08/17/14,82.08303934,254.6605434,33.7987566,0,34.35921274
happyAlpaca,08/24/14,98.94163228,283.6729533,36.01128289,0,34.93517571
happyAlpaca,08/31/14,109.9668557,286.3952448,31.37819029,0,30.7277928
happyAlpaca,09/07/14,108.9350081,280.0141971,38.77714069,0,36.70209764
happyAlpaca,09/14/14,117.9900467,244.8533113,36.71284199,0,32.31728759
happyAlpaca,09/21/14,96.99331545,312.4855919,30.97037714,0,32.22786627
happyAlpaca,09/28/14,95.99470602,288.3141616,34.78155666,0,31.90789189
happyAlpaca,10/05/14,102.0526892,262.2601392,39.80466208,0,26.211578
happyAlpaca,10/12/14,106.9828753,239.1310726,43.60659755,0,31.58920007
happyAlpaca,10/19/14,94.97032762,299.1364305,36.8410287,0,31.67570876
happyAlpaca,10/26/14,130.9155204,308.7260089,39.71393735,0,32.08053212
happyAlpaca,11/02/14,147.9248125,298.7906839,37.88020901,0,31.9897498
happyAlpaca,11/09/14,124.0481908,239.3225442,34.38302809,0,31.80972476
happyAlpaca,11/16/14,113.076533,286.052401,49.22321204,0,29.5139525
happyAlpaca,11/23/14,84.94860069,270.967619,43.17747406,0,36.58195903
happyAlpaca,11/30/14,89.08144671,253.7449933,35.04828249,0,29.53431709
happyAlpaca,12/07/14,93.06764784,229.1639768,39.69656117,0,29.04710681
happyAlpaca,12/14/14,171.0610504,233.5187514,61.39280311,0,21.03930787
happyAlpaca,12/21/14,177.9739666,290.472782,43.09651661,0,24.39671019
happyAlpaca,12/28/14,144.019736,281.6066783,39.80556137,0,23.27433995
happyAlpaca,01/04/15,184.0202717,276.2295773,45.70831051,0,25.2070245
happyAlpaca,01/11/15,196.0381197,237.1195803,43.01995932,0,23.50579979
happyAlpaca,01/18/15,227.956686,247.8977415,42.52868103,0,20.15315909
happyAlpaca,01/25/15,190.979769,323.4311879,48.85469118,0,28.55336581
happyAlpaca,02/01/15,194.9927069,319.2672385,48.40705003,0,28.49249585
happyAlpaca,02/08/15,202.9718897,293.7263454,50.71394668,0,22.70432475
happyAlpaca,02/15/15,194.0094027,291.4516653,43.19802388,0,23.50188593
happyAlpaca,02/22/15,200.039174,323.1785957,42.98129863,0,24.59579202
happyAlpaca,03/01/15,182.0636189,274.9496948,42.99714754,0,21.98850218
happyAlpaca,03/08/15,207.9849336,271.1320638,40.41683846,0,20.54870879
happyAlpaca,03/15/15,201.9755693,255.0210388,44.95513702,0,18.85452539
happyAlpaca,03/22/15,195.082117,300.2862251,27.12824856,0,25.2055134
happyAlpaca,03/29/15,169.9716908,296.9265449,61.1797265,0,23.83744682
happyAlpaca,04/05/15,199.0513017,270.3705583,31.13854555,0,19.97584562
happyAlpaca,04/12/15,206.0463091,245.3482744,40.00212668,0,21.5818508
happyAlpaca,04/19/15,178.0696266,310.917866,39.28530444,0,21.75084584
happyAlpaca,04/26/15,217.9204102,316.4223406,45.18703226,0,23.37044578
happyAlpaca,05/03/15,226.9753569,312.6793768,48.55451465,0,21.51228689
happyAlpaca,05/10/15,190.047165,213.0546081,50.45384228,0,21.29031557
happyAlpaca,05/17/15,195.0636573,286.2858406,34.6943296,0,16.93584475
happyAlpaca,05/24/15,204.9459415,351.9267313,45.05896643,0,29.75786823
happyAlpaca,05/31/15,218.9437746,289.8110061,68.37723947,0,14.87855051
happyAlpaca,06/07/15,231.0876865,289.5742937,48.67544984,0,18.87948389
happyAlpaca,06/14/15,229.0763289,193.4856448,49.93898685,0,18.51491538
happyAlpaca,06/21/15,224.9616043,303.1096884,47.7054783,0,18.08381304
happyAlpaca,06/28/15,200.0532888,305.3526066,48.76160368,0,17.80959291
happyAlpaca,07/05/15,215.9184087,325.7201725,47.30642437,0,18.19921277
happyAlpaca,07/12/15,233.9172294,191.7860741,47.03689416,0,17.34287747
happyAlpaca,07/19/15,212.0224563,374.4696137,48.14604778,0,18.21592138
happyAlpaca,07/26/15,214.9064422,313.7348435,48.86051278,0,17.52418296
happyAlpaca,08/02/15,197.0143116,301.1104002,50.81709507,0,18.23902361
happyAlpaca,08/09/15,190.9878016,238.2807539,48.83603558,0,14.31100832
happyAlpaca,08/16/15,221.9307554,318.3948877,50.57967694,0,18.3415169
happyAlpaca,08/23/15,211.9680703,313.3032093,49.84557094,0,16.93706068
happyAlpaca,08/30/15,241.0092195,313.5055866,49.6602122,0,19.01572652
happyAlpaca,09/06/15,212.0782932,289.9119008,49.93595602,0,19.11186516
happyAlpaca,09/13/15,212.0928907,188.6190156,22.40231678,0,9.608365933
happyAlpaca,09/20/15,223.0993311,323.1466206,53.20859102,0,4.588892091
happyAlpaca,09/27/15,212.9753779,297.638016,47.81622759,0,7.97077648
happyAlpaca,10/04/15,177.9743254,288.0611219,50.26570395,0,44.37628322
happyAlpaca,10/11/15,196.9363829,173.0174542,48.8168334,0,17.85979708
happyAlpaca,10/18/15,203.9382486,335.4183402,50.8991351,0,18.37369851
happyAlpaca,10/25/15,178.917203,323.2231197,50.77460793,0,18.45290421
happyAlpaca,11/01/15,207.0619959,325.4723215,50.21823421,0,18.4485151
happyAlpaca,11/08/15,188.0096138,302.4518211,53.37901427,0,18.46784832
happyAlpaca,11/15/15,182.0040508,333.1021835,45.81582226,0,17.68177842
happyAlpaca,11/22/15,172.9862857,345.7613782,49.5018276,0,17.88796306
happyAlpaca,11/29/15,189.9215048,314.466774,48.82290123,0,17.88168477
happyAlpaca,12/06/15,191.0420003,277.7789551,48.62964246,0,18.0948939